Comment,Description,Designator,Footprint,LCSC Part #,LibRef,Quantity

"CL05B104KO5NNNC","C - CAPACITOR - MLCC - 100nF - 16V - 0402","C1, C2, C3, C4, C10, C14, C18, C39, C42, C45, C48, C65, C68, C69, C70","C_0402","C1525","CL05B104KO5NNNC","15"
"CL10A225KO8NNNC","C - CAPACITOR - MLCC - 2.2uF - 16V - 0603","C7, C8, C23, C25, C37, C54","C_0603","C23630","CL10A225KO8NNNC","6"
"1206B102K202NT","C - CAPACITOR - MLCC - 1nF - 2000V - 1206 - X7R","C7_C, C22, C22_B, C22_C, C27, C27_B, C28, C28_B, C28_C","C_1206","C9196","1206B102K202NT","9"
"CL05B103KB5NNNC","C - CAPACITOR - MLCC - 10nF - 50V - 0402","C11, C31, C40, C46, C66","C_0402","C15195","CL05B103KB5NNNC","5"
"0402CG220J500NT","C - CAPACITOR - MLCC - 22pF - 50V - 0402","C12, C13, C15, C16, C17, C26, C29, C30","C_0402","C1555","0402CG220J500NT","8"
"KP225J2J2705","C - CAPACITOR - FILM - 2.2uF - 630V - 10mm Plugin","C20, C33","C_FILM_D27.5","C5371183","KP225J2J2705","2"
"CL31A226KAHNNNE","C - CAPACITOR - MLCC - 22uF - 25V - 1206","C34, C49, C73","C_1206","C12891","CL31A226KAHNNNE","3"
"CL05A475MP5NRNC","C - CAPACITOR - MLCC - 4.7uF - 10V - 0402","C38, C41, C47, C59, C64, C67","C_0402","C23733","CL05A475MP5NRNC","6"
"CC0603KRX7R9BB104","C - CAPACITOR - MLCC - 100nF - 50V - 0603","C43, C44, C51, C62","C_0603","C14663","CC0603KRX7R9BB104","4"
"CL10A106MA8NRNC","C - CAPACITOR - MLCC - 10uF - 25V - 0603","C74, C75","C_0603","C96446","CL10A106MA8NRNC","2"
"1N5819WS","D - DIODE - SCHOTTKY - 40V - 1A","D1_A, D1_B, D2_A, D2_B","SOD-323","C191023","1N5819WS","4"
"KT-0603R","D - LED - 0603 - Red","D4","D_0603","C2286","KT-0603R","1"
"1N4148WS","D - DIODE - FAST TRR - 100V - 150mA - 4ns","D5, D7, D10, D11","SOD-323","C2128","1N4148WS","4"
"US1MG","D - DIODE - FAST TRR - 1KV - 1A","D8, D9, GTI_D_A","DO-214AC","C412437","US1MG","3"
"SMTSO3020CTJ","J - PCB NUT - M3 x 2","GT_J_A, GT_J_B, GT_J_C, GT_J_D, GT_J_E, GT_J_F, GT_J_G","SMTSO3020CTJ","C2916381","SMTSO3020CTJ","7"
"DS1023-2*5SF11","J - JACK - PIN_HEADER 2X5P","GT_J_SWD","HDR_FEM_2X5P","C92270","DS1023-2*5SF11","1"
"YDFW2418T-103W03015","L - CM CHOKE -","GT_L5","YDFW2418T-103W03015","C5563765","YDFW2418T-103W03015","1"
"2300LL-102-V-RC","L - INDUCTOR - 1mH - 3.5A - TOROID","GT_L_VA_A, GT_L_VB_A, GT_L_VC_A","IND_2300LL-102-V-RC","C17539870","2300LL-102-V-RC","3"
"PDMTAT068125-221MLU","L - INDUCTOR - 220uH - 5A - 23mm","GT_L_VA_B, GT_L_VA_G, GT_L_VB_B, GT_L_VB_G","L_TOROID_8MM_D","C3011545","PDMTAT068125-221MLU","4"
"56 uF","C - CAPACITOR - ELECTROYLTIC - 56 uF - 450V - TH","GTI_C_BULK_A, GTI_C_BULK_B, GTI_C_BULK_C, GTI_C_BULK_D, GTI_C_BULK_E","CAP_D18_L7.5","C2902571","EGW2WM560M25OT","5"
"HLK-PM12","T - 12V - 0.25A - OFF LINE PSU","GTI_T_A","HLK-PM12","C209905","HLK-PM12","1"
"MAX253ESA","U - IC - TRANSCIEVER","IC3, IC7","SOIC-8-P1.27-W3.5","C148123","MAX253ESA","2"
"23","U - IC - SPECIALIZED ADC","IC4","SOIC-8-P1.27-W7.5","C471874","AMC1306M25DWVR","1"
"AMC1306M25DWVR","U - IC - SPECIALIZED ADC","IC5, IC9","SOIC-8-P1.27-W7.5","C471874","AMC1306M25DWVR","2"
"78L05G-AB3-R","U - IC - 5V Power Regulator","PS1, PS2","SOT-223-3","C71136","78L05G-AB3-R","2"
"IPLK60R360PFD7","Q - TRANSISTOR - MOSFET (N) - 600V - 303m - 13A","Q1, Q3, Q4, Q5","SO-8FL","C537054","IPLK60R360PFD7","4"
"0603WAF100KT5E","R - RESISTOR - SMD - 1R - 1% -  0603","R1, R34","R_0603","C22936","0603WAF100KT5E","2"
"0402WGF470JTCE","R - RESISTOR - SMD - 47R - 1% - 0402","R2, R3, R38, R39, R40","R_0402","C25118","0402WGF470JTCE","5"
"0805W8F4703T5E","R - RESISTOR - SMD - 470k - 1% - 0805","R5, R8, R9, R24, R25, R26","R_0805","C17709","0805W8F4703T5E","6"
"0402WGF4701TCE","R - RESISTOR - SMD - 4.7k - 1% - 0402","R6, R15, R33, R35, R41, R44","R_0402","C25900","0402WGF4701TCE","6"
"0603WAF100JT5E","R - RESISTOR - SMD - 10R - 1% - 0603","R11, R31, R36, R42","R_0603","C22859","0603WAF100JT5E","4"
"0402WGF1001TCE","R - RESISTOR - SMD - 1k - 1% - 0402","R12, R20, R27, R29","R_0402","C11702","0402WGF1001TCE","4"
"0402WGF1002TCE","R - RESISTOR - SMD - 10k - 1% - 0402","R13, R32, R37, R43","R_0402","C25744","0402WGF1002TCE","4"
"FMF25FPJR005-LH","R - RESISTOR - SMD - 0.005R - 1% - 2512 - 2W","R14","R_2512","C371096","FMF25FPJR005-LH","1"
"0402WGF100JTCE","R - RESISTOR - SMD - 10R - 1% - 0402","R18, R19","R_0402","C25077","0402WGF100JTCE","2"
"0402WGF2201TCE","R - RESISTOR - SMD - 2.2k - 1% - 0402","R30","R_0402","C25879","0402WGF2201TCE","1"
"1206W4F1000T5E","R - RESISTOR - SMD - 1R - 1% - 1206","RF, RF_B, RF_C, RF_D, RF_E, RF_F, RF_G","R_1206","C17928","1206W4F1000T5E","7"
"760390014","T - Transfrormer - 415uH","T1, T2","760390015","N/A","760390014","2"
"STM32L475RCT3","U - IC - MCU 32BIT LOW POWER 64LQFP","U1","QFP-64-P0.5MM","C1235405","STM32L475RCT3","1"
"UCC21520A","U - IC - GATE DRIVER, Half Bridge, Isolated","U2, U5","SOIC-16-P1.27-W7.5","C601651","UCC21520A","2"
"AMS1117-5.0","U - IC - LDO - 5V - 800mA","U3","TO-261AA","C6187","AMS1117-5.0","1"
"HT7533-1","U - IC - 3V3 Power Regulator","U4","SOT-223-3","C14289","HT7533-1","1"
"X322512MSB4SI","Y - RESONATOR - 12MHZ ±10PPM","Y1","X322512MSB4SI","C9002","X322512MSB4SI","1"
